NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
WBIPTAOOMJEGQO-UHFFFAOYSA-K	2'-Deoxycytidine-5'-Triphosphate
OOUGHDJEJNMXSV-QHCPKHFHSA-N	4-chloro-N-(3-methoxypropyl)-N-[(3S)-1-(2-phenylethyl)piperidin-3-yl]benzamide
RWSOTUBLDIXVET-UHFFFAOYSA-N	4-Deoxy-4-Thio-Beta-D-Glucopyranose
CJQNBXFUHQZFOE-AKRNZCFDSA-N	TESTOSTERONE HEMISUCCINATE
SDMBRCRVFFHJKR-UHFFFAOYSA-N	Gemcabene
ITPDYQOUSLNIHG-UHFFFAOYSA-N	Amiodarone
XQSPYNMVSIKCOC-NTSWFWBYSA-N	Emtricitabine
JFCQEDHGNNZCLN-UHFFFAOYSA-N	Glutaric Acid
CBPNZQVSJQDFBE-VBSVFFBFSA-N	Temsirolimus
KRJUUMCUGDJJGY-KUCDETBSSA-M	Chlorophyll B
WLOHNSSYAXHWNR-ALBFDXDBSA-N	Dirithromycin
QXCOFYWOWZJFEA-YIDQAKLOSA-N	AUROVERTIN B
UVOIBTBFPOZKGP-UHFFFAOYSA-N	Propiomazine
XZNUGFQTQHRASN-ZDKYEYGDSA-N	Apramycin
OOUGLTULBSNHNF-UHFFFAOYSA-N	PTC124
HWZBMRPVASUAIN-UHFFFAOYSA-N	CHIR-258
OLNTVTPDXPETLC-NRWLBFFVSA-N	Ezetimibe
ZIIQWIUUIAULLO-MKQKURRLSA-N	BV1
YMDXZJFXQJVXBF-STHAYSLISA-N	Fosfomycin
HYFHYPWGAURHIV-WAWARTBOSA-N	Homoharringtonine
LUEWUZLMQUOBSB-UHFFFAOYSA-N	Maltotetraose
IPSLIFRBPVBXGV-FJPYDVKGSA-N	Daunorubicin
RWYHCHKAMAZSGN-UHFFFAOYSA-N	XL147
GGEWEQJWGGJUHO-UHFFFAOYSA-N	4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine
FPPNZSSZRUTDAP-PYUIQPRZSA-N	Carbenicillin
BCGJBQBWUGVESK-KCTCKCTRSA-N	Oxymorphone
KRYKGRXIHMMFCB-LTHBGAKLSA-N	Dodecyl-Alpha-D-Maltoside
AUNGANRZJHBGPY-SCRDCRAPSA-M	Riboflavin
LTYOQGRJFJAKNA-IJCONWDESA-N	Malonyl-Coenzyme A
AILSWIBFGYYZTK-AABGKKOBSA-N	AC-(D)PHE-PRO-BOROHOMOLYS-OH
PGTNGCKQWSLAPR-UHFFFAOYSA-N	2-(N-Morpholino)-Ethanesulfonic Acid
NPEFREDMMVQEPL-YJSGWBGLSA-N	Gentamicin
SLLMMFWUJVANSC-WFASDCNBSA-N	Benzoyl-Arginine-Alanine-Methyl Ketone
CHNMLWCTGYMVFH-GFCCVEGCSA-N	(6,7-Dihydro-5h-Cyclopenta[D]Imidazo[2,1-B]Thiazol-2-Yl]-4,7-Dihydro[1,4]Thiazepine-3,6-Dicarboxylic Acid
RQZAXGRLVPAYTJ-GQFGMJRRSA-N	Megestrol acetate
CSVGVHNFFZWQJU-CYBMUJFWSA-N	N-Methyl-N-Propargyl-1(R)-Aminoindan
NZCRJKRKKOLAOJ-CJRPOXCJSA-N	Rifaximin
QZVCTJOXCFMACW-INIZCTEOSA-N	Phenoxybenzamine
BBCQJSMDKDHVKG-UHFFFAOYSA-N	1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone
HGNFDPZASRDVLL-UHFFFAOYSA-N	Trans-O-Hydroxy-Alpha-Methyl Cinnamate
JVTAAEKCZFNVCJ-MYSWAXPFSA-N	Lactic Acid
MGHNDJJPPOAIHK-UHFFFAOYSA-N	Indene
RSSOZTMMMIWOJB-AAEUAGOBSA-N	Z-Ala Prolinal
YUTXECPABXNXPU-DJJJIMSYSA-N	TRAZEOLIDE
IKGXIBQEEMLURG-KUKMIBIMSA-N	Rutin
BJVVMKUXKQHWJK-UHFFFAOYSA-N	Talbutal
FKUXAOWYFDAISI-ANQAEFHNSA-N	Tirofiban
DMJNNHOOLUXYBV-JSEGGCCYSA-N	Meropenem
JYWLVKREVMTEJA-UXMRNZNESA-N	Compound 19
CBPNZQVSJQDFBE-KFZNZFKNSA-N	Temsirolimus
ZDIGNSYAACHWNL-HNNXBMFYSA-N	Brompheniramine
ZDRRIRUAESZNIH-JLSAMJFVSA-N	Urofollitropin
VDMWOTZYBQHBGI-MFHWELOXSA-M	Chlorophyll A
FUFVKLQESJNNAN-UHFFFAOYSA-M	Homatropine Methylbromide
JNGWKQJZIUZUPR-UHFFFAOYSA-N	[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium
KCOYLRXCNKJSSC-UHFFFAOYSA-N	9H-CARBAZOLE
TYKISUKQZKOLLG-QGZVFWFLSA-N	1-(N-Imidazolyl)-2-Hydroxy-2-(2,3-Dichlorophenyl)Octane
ZXIHYCYAQUQHSG-UHFFFAOYSA-O	ZK-805623
NQRIWXVAIWPBEM-OALUTQOASA-N	Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine
XOSFCMOTHZJUQK-SQJMNOBHSA-N	Cp-Coeleneterazine
XAXMYHMKTCNRRZ-UHFFFAOYSA-N	Cinolazepam
RZTAMFZIAATZDJ-OAHLLOKOSA-N	Felodipine
JYGXADMDTFJGBT-RXPDXRJRSA-N	Hydrocortisone
QGNGOGOOPUYKMC-UHFFFAOYSA-N	Sulfamoxole
NWPKPRWNDVEPNY-DHIFYFQBSA-N	4-{[(Z)-(5-OXO-2-PHENYL-1,3-OXAZOL-4(5H)-YLIDENE)METHYL]AMINO}BUTANOIC ACID
HOVVLEZUSNEQKO-WYKQKOHHSA-N	Fusicoccin
NOVJJPLRUMZSDK-UHFFFAOYSA-O	2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM
ZVSBKYYVBCKDBO-HNNXBMFYSA-N	(2S)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL
NPRHVSBSZMAEIN-NRFANRHFSA-N	Tridihexethyl
XZKIHKMTEMTJQX-APSJLFKXSA-N	4-Nitrophenyl Phosphate
VVNCNSJFMMFHPL-VKHMYHEASA-N	Penicillamine
ZMRUPTIKESYGQW-UHFFFAOYSA-N	Propranolol
UPMFZISCCZSDND-UHFFFAOYSA-M	Gluconic Acid
NXFQHRVNIOXGAQ-UHFFFAOYSA-N	Nitrofurantoin
RQFCJASXJCIDSX-BZKDHIKHSA-N	Guanosine-5'-Monophosphate
LJVAJPDWBABPEJ-HKEYBQESSA-N	Telithromycin
WTHIKWKYJBVYCU-UHFFFAOYSA-N	6'-Methyl-Thiamin Diphosphate
PVKSNHVPLWYQGJ-HGOUYRHRSA-N	Phosphoaminophosphonic Acid-Adenylate Ester
KYHVWHYLKOHLKA-FQEVSTJZSA-N	CDP323
ROYJKVPBJVNHCQ-VWJVIAGJSA-N	Adenosine-5'-Rp-Alpha-Thio-Triphosphate
DPYMFVXJLLWWEU-PVQJCKRUSA-N	Desflurane
IOADRGRBNVYVBB-CCEZHUSRSA-N	(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide
QWDRYURVUDZKSG-VIFPVBQESA-N	1-Hydroxy-2-Amino-3-Cyclohexylpropane
ZOCKGBMQLCSHFP-UHFFFAOYSA-N	Valrubicin
HEYSFDAMRDTCJM-UUOKFMHZSA-N	Guanosine-3'-Monophosphate-5'-Diphosphate
XWIUMAPBZWNFNV-UHFFFAOYSA-N	N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE
DKNPRRRKHAEUMW-UHFFFAOYSA-N	Potassium Iodide
XSSNABKEYXKKMK-UHFFFAOYSA-N	S-Isopropyl-Isothiourea
OWOHLURDBZHNGG-YFKPBYRVSA-N	(8ar)-Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione
NRLIFEGHTNUYFL-QJDHNRDASA-N	Brasofensine
RAOHHYUBMJLHNC-UHFFFAOYSA-N	Metixene
RCCNUBYROFOKAU-FQEVSTJZSA-N	1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine
IKGXIBQEEMLURG-BXZONFTHSA-N	Rutin
HIFJCPQKFCZDDL-CSAIKYROSA-N	Iloprost
HVYWMOMLDIMFJA-MTRSAVRQSA-N	Cholesterol
UYEMNFYVTFDKRG-LGCFCJMNSA-N	Undecyl-Beta-D-Maltopyranoside
OFBIFZUFASYYRE-JVVVGQRLSA-N	Flumazenil
CQOQDQWUFQDJMK-SSTWWWIQSA-N	2-Methoxyestradiol
UQVDQSWZQXDUJB-UHFFFAOYSA-N	Adenine
LOUPRKONTZGTKE-TUGJPZLJSA-N	Quinidine
JOCBASBOOFNAJA-UHFFFAOYSA-N	2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid
RLFWWDJHLFCNIJ-UHFFFAOYSA-N	Aminophenazone
RJURFGZVJUQBHK-GIUPLMLQSA-N	Dactinomycin
RQZAXGRLVPAYTJ-CYDYFGPOSA-N	Megestrol acetate
TWVYNPULGKGJOS-UHFFFAOYSA-N	2-{5-[3-(7-PROPYL-3-TRIFLUOROMETHYLBENZO[D]ISOXAZOL-6-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID
MQNYTUDOBVAUPT-MRVPVSSYSA-N	Clortermine
ADFOJJHRTBFFOF-RBRWEJTLSA-N	Estramustine
COJBCAMFZDFGFK-GLEQDHKKSA-N	O2-Sulfo-Glucuronic Acid
LCHGAOHLDYRACA-SDBHATRESA-N	2-METHYLTHIO-N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE
KSJUBERVJBRJKL-HTQZYQBOSA-N	5-{[(4-AMINO-3-CHLORO-5-FLUOROPHENYL)SULFONYL]AMINO}-1,3,4-THIADIAZOLE-2-SULFONAMIDE
CMWTZPSULFXXJA-FVYHCHHKSA-N	Naproxen
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N	Dronedarone
KXZHFPLZDTZUTA-HDRQGHTBSA-N	Hexanoyl-Coenzyme A
LRWRQTMTYVZKQW-KXDJUOJUSA-N	Piperacillin
QCHFTSOMWOSFHM-PSASIEDQSA-N	Pilocarpine
FKAWLXNLHHIHLA-OHSMJMBWSA-N	Calyculin A
ZRJBHWIHUMBLCN-HZRLMBICSA-N	Huperzine A
GACTWZZMVMUKNG-KVTDHHQDSA-N	Sorbitol 6-phosphate
PWRKXFCXKYUHGL-UHFFFAOYSA-N	DIETHYL 4-METHOXYPHENYL PHOSPHATE
VLPIATFUUWWMKC-SNVBAGLBSA-N	(2R)-1-(2,6-dimethylphenoxy)propan-2-amine
HIVSMYZAMUNFKZ-XFYLRIHESA-N	3r-Hydroxydecanoyl-Coa
SAUCHDKDCUROAO-VKHMYHEASA-N	2-Amino-3-Ketobutyric Acid
LQCLVBQBTUVCEQ-CLPGKMRCSA-N	Troleandomycin
ICGRXHWXPCXIKM-UHFFFAOYSA-N	6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID
RJKFOVLPORLFTN-QKKHWQHCSA-N	Progesterone
JWRMHDSINXPDHB-LQAIISDSSA-N	Flumethasone Pivalate
LLRSBEXKLNOWPS-RULNZFCNSA-N	N-Acetyl-D-glucosamine
LJVAJPDWBABPEJ-XZVSULPPSA-N	Telithromycin
XZWFHJUEAVOHHG-UHFFFAOYSA-N	3-[(4'-cyanobiphenyl-4-yl)oxy]-N-hydroxypropanamide
CFGKLCQFCCKRSP-DGRKTMCLSA-N	Chlorophyll A
HQMNCQVAMBCHCO-CIOYAOGQSA-N	Etretinate
RAJWOBJTTGJROA-UHFFFAOYSA-N	Androstanedione
FDZQGEIYGFPMOB-USBJVFBQSA-N	N-1,2,3,4-Tetrahydronaphth-1-Yl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine
WUGJIPFLBOATGL-UHFFFAOYSA-N	[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone
RKUNBYITZUJHSG-UHFFFAOYSA-N	Atropine
RFQHCLMGLJGZNV-UXXOMSPDSA-N	CTA018
GRAUOYNEIPSZRQ-JQISDYQISA-N	Chlorophyll A
CMUNUTVVOOHQPW-LURJTMIESA-N	Proline Betaine
BODKCFIJDQGFGS-ZHALLVOQSA-N	Lubiprostone
BIDNLKIUORFRQP-AJTMIRJTSA-N	Fosinopril
OTGZMCDTDXWFIH-UHFFFAOYSA-O	(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine
XRJAKERBMMBUGR-UHFFFAOYSA-N	2-(methylamino)-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide
KJADKKWYZYXHBB-FKIWMHTNSA-N	Topiramate
NAFSYPCVPLWHFY-HNNXBMFYSA-N	KW-7158
PELPUMGXMYVGSQ-UHFFFAOYSA-N	Phosphoaminophosphonic Acid-Adenylate Ester
VOVIALXJUBGFJZ-UHFFFAOYSA-N	Budesonide
QELNZSJUBOETDG-UHFFFAOYSA-N	(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I)
XZLMLZGVEDBWKM-RPDRRWSUSA-N	5-Nitroso-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione
XKLZIVIOZDNKEQ-ONEGZZNKSA-N	Sparsomycin
MXYUKLILVYORSK-UHFFFAOYSA-N	Lobeline
VXPCQISYVPFYRK-UHFFFAOYSA-N	Ethopropazine
BRIYXQJQVCKKAN-UHFFFAOYSA-N	Ropivacaine
NJLYFHQZGXUQAQ-NRSDOTMMSA-N	Aurodox
ZAQJHHRNXZUBTE-UCORVYFPSA-N	D-Xylulose
MNYBEULOKRVZKY-TZOAMJEDSA-N	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID
GYHCTFXIZSNGJT-XMMPIXPASA-N	Tolvaptan
PXJJVTBKYDHTLU-KMVJVCBCSA-N	Alpha-methylthiofentanyl
GZZZSOOGQLOEOB-UHFFFAOYSA-N	Diloxanide
OQEBIHBLFRADNM-YUPRTTJUSA-N	2-Hydroxymethyl-Pyrrolidine-3,4-Diol
NMFHWOGIMJFEIY-OGQPXDRHSA-M	Bacteriochlorophyll A
YMORQEOGXUAETC-AWFVSMACSA-N	Fructose
UUGITDASWNOAGG-YDKYIBAVSA-N	Cyclouridine
HMJQKIDUCWWIBW-PVQJCKRUSA-N	Trifluoroalanine
YGULWPYYGQCFMP-KQVXWTLCSA-N	Metoprolol
JYSUNCQNYHDZEK-UHFFFAOYSA-M	Aluminum hydroxide
ZNFLFEVMGGIKAY-QGZVFWFLSA-O	Diundecyl Phosphatidyl Choline
USRGIUJOYOXOQJ-UHFFFAOYSA-N	Phosphonothreonine
NIWLZFCGPBHMQN-UHFFFAOYSA-N	Phencyclidine
OXZUUXUKPNYEHG-SHYZEUOFSA-N	Zidovudine
LERNTVKEWCAPOY-HJUPKNEGSA-N	Tiotropium
OKPPFIYFMZSXPH-VQCMPLIFSA-N	Flavin adenine dinucleotide
NIOYUNMRJMEDGI-UHFFFAOYSA-N	Palmitic Acid
WQEPLUUGTLDZJY-UHFFFAOYSA-N	Palmitic Acid
JOUIQRNQJGXQDC-UHFFFAOYSA-N	Namn
RGJOEKWQDUBAIZ-SHOKCAFBSA-N	Coenzyme A
LPQZKKCYTLCDGQ-KHQFGBGNSA-N	Tazobactam
VFXCGTMCBWFMDF-BROCFWOHSA-N	1,2-Diacyl-Sn-Glycero-3-Phosphoinositol
XEQPGVUGYAUMSA-UHFFFAOYSA-N	5-[3-(BENZYLAMINO)PHENYL]-4-BROMO-3-(CARBOXYMETHOXY)THIOPHENE-2-CARBOXYLIC ACID
OGWKCGZFUXNPDA-CFWMRBGOSA-N	Vincristine
DYFPQIYEZQULMZ-YZWDQNTRSA-N	S-Adenosylmethionine
BCGWQEUPMDMJNV-BJUDXGSMSA-N	Imipramine
OOLYVCHMVVBXFC-VMTCYHPSSA-N	Myxopyronin B
ATQKZSJJVSWFAJ-GDIUIJEMSA-N	Chlorophyll A
OJZCATPXPWFLHF-HPUCEMLMSA-N	Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate
CVZIHNYAZLXRRS-HNNXBMFYSA-N	(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE
GHVNFZFCNZKVNT-UHFFFAOYSA-M	Decanoic Acid
LOYXUXZQQVEADT-ZEQRLZLVSA-N	3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER
MTWQCSQFFRVFCN-UHFFFAOYSA-N	(Hydroxyethyloxy)Tri(Ethyloxy)Octane
HVXKQKFEHMGHSL-GOOCMWNKSA-N	XL647
JOXIMZWYDAKGHI-UHFFFAOYSA-N	Para-Toluene Sulfonate
ZVPAUNJUMAQCNK-IAGOWNOFSA-N	Rosuvastatin
AEOBEOJCBAYXBA-KQYNXXCUSA-N	Adenosine-2'-5'-Diphosphate
RBZIIHWPZWOIDU-IJZUXERNSA-N	4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5,6-Enyl)Amino)Fructose
JCQLYHFGKNRPGE-FCVZTGTOSA-N	Lactulose
AFSDNFLWKVMVRB-UHFFFAOYSA-N	Ellagic Acid
GUBGYTABKSRVRQ-KWCWEWCRSA-N	Lactose
RNOPBMMYXMAVAR-HBICADQMSA-N	Chlorophyll A
MLVSYGCURCOSKP-ZVXDAELJSA-N	Lanosterol
FVTCRASFADXXNN-UHFFFAOYSA-N	Riboflavin Monophosphate
UWHZIFQPPBDJPM-BQYQJAHWSA-N	(11E)-OCTADEC-11-ENOIC ACID
OXKRFEWMSWPKKV-UHFFFAOYSA-N	TC-5619
RUDATBOHQWOJDD-IVBGEJOSSA-N	Ursodeoxycholic acid
OJMMVQQUTAEWLP-ZUWRKQLMSA-N	Lincomycin
VOXZDWNPVJITMN-RSJGLCBASA-N	Estradiol
AWDORCFLUJZUQS-UHFFFAOYSA-N	(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE
UZFPOOOQHWICKY-UHFFFAOYSA-N	Porfimer
PHIQHXFUZVPYII-LURJTMIESA-N	L-Carnitine
OFBQJSOFQDEBGM-UHFFFAOYSA-N	Heptyl 1-Thiohexopyranoside
VVWSSZFTWYTWCN-UHFFFAOYSA-N	8-Oxo-2'-Deoxy-Guanosine-5'-Monophosphate
NIZOGBPGMLBSQD-MKDQEVQBSA-N	Chlorophyll A
DBQZVPSKYUCKNT-UHFFFAOYSA-N	Butan-1-Ol
ANAMDWGJXBYJEB-SHKDNAECSA-N	(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL
BQJCRHHNABKAKU-OONJBDFYSA-N	Morphine
FZSQNQWWVPMNJH-UHFFFAOYSA-P	Heptamolybdate
VUPLLTXAZWXAEQ-UHFFFAOYSA-N	Gpi-1046
NGZXDRGWBULKFA-WUFINQPMSA-N	Tubocurarine
KEGQNJITMFBVAC-UHFFFAOYSA-N	(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one
GMTYREVWZXJPLF-AFHUBHILSA-N	Butorphanol
NNQIJOYQWYKBOW-JWKOBGCHSA-M	Deacetoxycephalosporin-C
ARRGHMSEJJFDME-IOSLPCCCSA-N	Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate
OJVAWFNDGCYHKF-UHFFFAOYSA-N	6-CHLORO-1-(2-{[(5-CHLORO-1-BENZOTHIEN-3-YL)METHYL]AMINO}ETHYL)-3-[(2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL
GOEMGAFJFRBGGG-OAHLLOKOSA-N	Acebutolol
FNZLKVNUWIIPSJ-CRCLSJGQSA-L	Ribulose-5-Phosphate
XJFMHMFFBSOEPR-DNZQAUTHSA-N	Binodenoson
UXHVQAJQXZWLAW-RITPCOANSA-N	[(3R,4S)-4-HYDROXY-3-METHYL-2-OXOHEXYL]PHOSPHONIC ACID
PSGAAPLEWMOORI-UHFFFAOYSA-N	Medroxyprogesterone Acetate
JPZIKVJZVMFYJM-YBXAARCKSA-N	4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL
DFPAKSUCGFBDDF-UHFFFAOYSA-N	Nicotinamide
AKNIHFDXRAOPAI-NRFANRHFSA-N	(6S)-6-CYCLOPENTYL-6-[2-(3-FLUORO-4-ISOPROPOXYPHENYL)ETHYL]-4-HYDROXY-5,6-DIHYDRO-2H-PYRAN-2-ONE
HKSZLNNOFSGOKW-HMWZOHBLSA-N	Staurosporine
FVXRUBYULLZEGT-UHFFFAOYSA-O	3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo[1,5-a]pyridin-7-amine
ROHFNLRQFUQHCH-UHFFFAOYSA-N	D-Leucine
ROSGLQYMWASPAZ-UHFFFAOYSA-N	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
STECJAGHUSJQJN-LVYPSTDBSA-N	Scopolamine
QYFGPQQSJQOGEO-TVJRNMROSA-N	S-P-Nitrobenzyloxycarbonylglutathione
UFZTZBNSLXELAL-WOIOKPISSA-N	Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate
JXLYSJRDGCGARV-CUGARIAGSA-N	Vinblastine
GTVPOLSIJWJJNY-UHFFFAOYSA-N	Olomoucine
ULOTXPTWJAUGGE-UHFFFAOYSA-N	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid
ODMHOWCUYFSODS-YLQNXEDKSA-L	12-Phenylheme
GKBYCQWDJLNLME-SMNNRIISSA-N	5,10-Methylene-6-Hydrofolic Acid
YILFYQYBOXWNOR-UHFFFAOYSA-N	Carboplatin
JMPSZYHYDMQFEO-KRWDZBQOSA-N	N-ETHYL-N-ISOPROPYL-3-METHYL-5-{[(2S)-2-(PYRIDIN-4-YLAMINO)PROPYL]OXY}BENZAMIDE
RXDVFLTWXCTCEX-UHFFFAOYSA-N	4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID
WWUZIQQURGPMPG-UHFFFAOYSA-N	Sphingosine
RJKFOVLPORLFTN-ARTNJODBSA-N	Progesterone
OROAFUQRIXKEMV-LDADJPATSA-N	Eprosartan
XGZVUEUWXADBQD-UHFFFAOYSA-L	Lithium
PMMURAAUARKVCB-DQBDMIDPSA-N	2-deoxyglucose
SPPTWHFVYKCNNK-UHFFFAOYSA-N	Bentiromide
GVPONLWGQFZYSV-UDIARPCQSA-N	Pantothenoylaminoethenethiol
RZZPDXZPRHQOCG-OJAKKHQRSA-N	[2-Cytidylate-O'-Phosphonyloxyl]-Ethyl-Trimethyl-Ammonium
LISFMEBWQUVKPJ-UHFFFAOYSA-N	2-OXOQUINOLINE
QMVPQBFHUJZJCS-NTKFZFFISA-N	Edotecarin
NVYATAJRTRFKSW-UHFFFAOYSA-N	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
GOCUAJYOYBLQRH-MRVPVSSYSA-N	(2S)-2-(4-{[3-CHLORO-5-(TRIFLUOROMETHYL)PYRIDIN-2-YL]OXY}PHENOXY)PROPANOIC ACID
GDLPAGOVHZLZEK-JBUFHSOLSA-L	oglufanide disodium
LGRDWAAXORDGIF-UHFFFAOYSA-H	Potassium Chloride
SUYVUBYJARFZHO-RRKCRQDMSA-K	2'-Deoxyadenosine 5'-Triphosphate
JGJACZABNQGPMT-UHFFFAOYSA-N	N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE
PRFDQHCVOVMMJC-UHFFFAOYSA-N	Guanosine-5'-Diphosphate
CBOJBBMQJBVCMW-UHFFFAOYSA-N	Glucosamine
IQFWYNFDWRYSRA-OEQWSMLSSA-N	5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol
PVRYEWOXWGDQHA-URLMMPGGSA-N	Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone
KBOPZPXVLCULAV-UHFFFAOYSA-N	MAX-002
SOFGQQQVQZQJFS-MRXNPFEDSA-N	(2R)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine
UJLXYODCHAELLY-GJMOJQLCSA-N	Thymidine-5'- Diphosphate
OYCUVQWMFDPFIZ-UHFFFAOYSA-N	Atpenin A5
USHOSLIEBCEAIY-UHFFFAOYSA-N	Bacitracin
RXZBMPWDPOLZGW-GWPRLELFSA-N	Roxithromycin
WSMRUPUEYOBWRC-SOFGYWHQSA-M	(2z)-3-{[Oxido(Oxo)Phosphino]Oxy}-2-Phenylacrylate
HTMIBDQKFHUPSX-CQSZACIVSA-N	Methdilazine
REOJLIXKJWXUGB-UHFFFAOYSA-N	Nabumetone
HUDPLKWXRLNSPC-UHFFFAOYSA-N	4-Aminophthalhydrazide
YPZRWBKMTBYPTK-DDHJBXDOSA-N	Oxidized Glutathione Disulfide
PIJVFDBKTWXHHD-JFVYOVHVSA-N	Physostigmine
GLQMDRJYEQDASO-UHFFFAOYSA-N	Trihydroxyantimonite(Iii)
LGMSNQNWOCSPIK-KELGLJHESA-N	Flavopiridol
IJFRULGDDRUYQN-UHFFFAOYSA-L	2'-Deoxycytidine-5'-Monophosphate
URPOYURDCLCHHB-ICUOVBAUSA-M	Alpha-Linolenic Acid
KTUFKADDDORSSI-UHFFFAOYSA-N	Acebutolol
MDUBPQGQPBQGGN-UHFFFAOYSA-N	Isobutyric Acid
QTWXAXALPGDSSU-UHFFFAOYSA-O	3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER
FMGSKLZLMKYGDP-UHFFFAOYSA-N	Dehydroepiandrosterone
VSHUQLRHTJOKTA-XBXARRHUSA-N	(2E)-3-(3,4-DIHYDROXYPHENYL)-N-[2-(4-HYDROXYPHENYL)ETHYL]ACRYLAMIDE
UNAANXDKBXWMLN-INIZCTEOSA-N	Sibutramine
UGQMRVRMYYASKQ-KQYNXXCUSA-N	Inosine
JIIGCFAEDFDFJH-UHFFFAOYSA-N	Pentane
UAIXRPCCYXNJMQ-RZIPZOSSSA-N	Buprenorphine
RCFFMOJNMUGXLV-GSVOUGTGSA-N	Selenocysteine
ZXRVKCBLGJOCEE-UHFFFAOYSA-N	Gaboxadol
KABFMIBPWCXCRK-UHFFFAOYSA-L	Heme C
RJKFOVLPORLFTN-UHFFFAOYSA-N	Progesterone
HOEMZWNHEOJXIP-ZTGLPLSKSA-M	Chlorophyll A
UQKBNLXZEGBQAF-JAJWTYFOSA-N	N-Acetyl-N'-Beta-D-Glucopyranosyl Urea
